Country;Region;Rank;Score;GDP;Family;Health;Freedom;Trust;Generosity
Finland;Western Europe;153;7808700085;1063926697;954329729;719008255;949172199;195444584;-59482019
Estonia;Central and Eastern Europe;109;6021800041;1034001732;934729993;6860495758;87770915;623073816;-111697771
Ecuador;Latin America and Caribbean;102;5925199986;9246058464;836418986;6850003815;859828949;801215112;-127014965
Denmark;Western Europe;152;7645599842;1077400112;955990791;7240250397;951444268;168489456;66201776
Croatia;Central and Eastern Europe;85;5504700184;1007087517;874623716;7021490479;714838803;916495264;-128538325
Costa Rica;Latin America and Caribbean;140;7121399879;9658156395;901545942;7129985046;934738934;786332428;-10242971
Comoros;Sub-Saharan Africa;34;4288599968;7833630085;625662446;5734901047;547612607;780622602;90008408
Colombia;Latin America and Caribbean;114;6163400173;9500369072;884440243;6769958496;836179912;86457181;-161235645
China;Eastern Asia;71;5123899937;9688568115;798760593;692891922;898517907;7539711;-18142575
Chile;Latin America and Caribbean;119;6228499889;100320549;879713595;6990061951;744896293;838239431;-65668367
Cameroon;Sub-Saharan Africa;67;5084899902;8118647575;700386405;527049408;763051808;851336598;-149645
Cambodia;SouthEastern Asia;59;4848400116;8249890327;773080647;6152996826;959704638;822769046;51911179
Burundi;Sub-Saharan Africa;28;3775300026;6492642403;490325719;5340000153;626350224;606934547;-17551597
Burkina Faso;Sub-Saharan Africa;53;4768700123;746854496;712943614;5388945389;665563583;739795029;-19080516
Brazil;Latin America and Caribbean;125;6375599861;956643486;896723807;6648016357;799804807;770601273;-101812392
Botswana;Sub-Saharan Africa;21;3478899956;9711203575;779121757;5892445374;821328104;777930915;-250394493
Bolivia;Latin America and Caribbean;96;5747499943;8851115227;803108692;636004715;875873327;822606206;-9168113
Belgium;Western Europe;135;6863500118;106736393;911632538;7200164795;813582063;612297952;-78691199
Belarus;Central and Eastern Europe;88;5539899826;9779945374;90674746;6610433197;639163077;63571167;-164926544
Bangladesh;Southern Asia;58;4832799911;8287063599;687292993;6450306702;90062499;661843538;-33664726
Bahrain;Middle East and Northern Africa;118;6227300167;1067638016;876342118;685;905855775;7393471;13372919
Azerbaijan;Central and Eastern Europe;76;5164800167;9687726974;819308281;6550839996;786824107;55253756;-240255281
Austria;Western Europe;145;7294199944;107428236;928045869;7300250244;899989486;499954879;85429221
Australia;Australia and New Zealand;143;7222799778;1072059631;944854617;7360453796;915431738;41516912;19046016
Armenia;Central and Eastern Europe;49;4676799774;9100476265;757479429;6675065613;712017834;773544788;-13877961
Argentina;Latin America and Caribbean;105;5974699974;9810955048;900567949;6880380249;831132412;842009842;-194913864
Algeria;Middle East and Northern Africa;65;5005099773;9537964821;803385139;6590517426;466610909;735485137;-121105164
Albania;Central and Eastern Europe;60;4882699966;9417930603;671070457;6870813751;781994224;896303713;-42309489
