Country;Region;Rank;Score;GDP;Family;Health;Freedom;Trust;Generosity
South Korea;Eastern Asia;88;5845;10651;799;73900;672;727;-83
Philippines;Southeastern Asia;89;5880;9076;830;62000;917;742;-97
Croatia;Central and Eastern Europe;90;5882;10217;924;70799;754;939;-118
Honduras;Latin America and Caribbean;91;5919;8648;812;67300;857;809;81
Argentina;Latin America and Caribbean;92;5929;9962;898;69000;828;834;-182
Portugal;Western Europe;93;5929;10421;879;72600;892;887;-244
Japan;Eastern Asia;94;5940;10611;884;75100;796;638;-258
Nicaragua;Latin America and Caribbean;95;5972;8620;864;67657;836;664;20
Thailand;Southeastern Asia;96;5985;9805;888;67401;884;895;287
Hungary;Central and Eastern Europe;97;5992;10358;943;68000;755;876;-186
Colombia;Latin America and Caribbean;98;6012;9557;847;68001;837;841;-135
Latvia;Central and Eastern Europe;99;6032;10315;927;67100;715;800;-162
Mauritius;Sub-Saharan Africa;100;6049;10008;905;66701;867;789;-54
El Salvador;Latin America and Caribbean;101;6061;9054;762;66402;888;688;-110
Serbia;Central and Eastern Europe;102;6078;9787;873;68600;778;835;2
Kuwait;Middle East and Northern Africa;103;6106;10817;843;66900;867;736;-104
Romania;Central and Eastern Europe;104;6140;10284;832;67355;845;938;-219
Kazakhstan;Central and Eastern Europe;105;6152;10155;952;65200;853;733;-69
Poland;Central and Eastern Europe;106;6166;10382;898;69702;841;735;-165
Chile;Latin America and Caribbean;107;6172;10071;882;70000;742;830;-44
Uzbekistan;Central and Eastern Europe;108;6179;8836;918;65255;970;515;311
Panama;Latin America and Caribbean;109;6180;10350;896;69652;872;856;-166
Estonia;Central and Eastern Europe;110;6189;10481;941;68800;909;527;-106
Cyprus;Western Europe;111;6223;10576;802;73898;763;844;-15
Lithuania;Central and Eastern Europe;112;6255;10499;935;67906;773;826;-203
Jamaica;Latin America and Caribbean;113;6309;9186;877;67500;890;884;-137
Mexico;Latin America and Caribbean;114;6317;9859;831;68597;862;799;-147
Brazil;Latin America and Caribbean;115;6330;9577;882;66601;804;756;-71
Slovakia;Central and Eastern Europe;116;6331;10369;936;69201;766;911;-124
Kosovo;Central and Eastern Europe;117;6372;9318;821;63813;869;917;257
Singapore;Southeastern Asia;118;6377;11488;915;76953;927;82;-18
Uruguay;Latin America and Caribbean;119;6431;9966;925;69100;896;590;-92
Guatemala;Latin America and Caribbean;120;6435;9053;813;64958;906;775;-38
Slovenia;Central and Eastern Europe;121;6461;10529;948;71400;949;806;-101
Italy;Western Europe;122;6483;10623;880;73800;693;866;-84
Spain;Western Europe;123;6491;10571;932;74700;761;745;-81
Saudi Arabia;Middle East and Northern Africa;124;6494;10743;891;66603;877;684;-149
United Arab Emirates;Middle East and Northern Africa;125;6561;11085;844;67333;932;589;74
Taiwan Province of China;Eastern Asia;126;6584;10871;898;69600;784;721;-70
Malta;Western Europe;127;6602;10674;931;72200;927;653;133
Bahrain;Middle East and Northern Africa;128;6647;10669;862;69495;925;722;89
France;Western Europe;129;6690;10704;942;74000;822;571;-147
Belgium;Western Europe;130;6834;10823;906;72199;783;646;-153
United States of America;North America;131;6951;11023;920;68200;837;698;98
Czech Republic;Central and Eastern Europe;132;6965;10556;947;70807;858;868;-208
United Kingdom;Western Europe;133;7064;10707;934;72500;859;459;233
Costa Rica;Latin America and Caribbean;134;7069;9880;891;71400;934;809;-126
Ireland;Western Europe;135;7085;11342;947;72400;879;363;77
Canada;North America;136;7103;10776;926;73800;915;415;89
Germany;Western Europe;137;7155;10873;903;72500;875;460;11
Israel;Middle East and Northern Africa;138;7157;10575;939;73503;800;753;31
Australia;Australia and New Zealand;139;7183;10796;940;73900;914;442;159
Austria;Western Europe;140;7268;10906;934;73300;908;481;42
New Zealand;Australia and New Zealand;141;7277;10643;948;73400;929;242;134
Luxembourg;Western Europe;142;7324;11647;908;72600;907;386;-34
Sweden;Western Europe;143;7363;10867;934;72700;945;237;86
Norway;Western Europe;144;7392;11053;954;73300;960;270;93
Netherlands;Western Europe;145;7464;10932;942;72400;913;338;175
Iceland;Western Europe;146;7554;10878;983;73000;955;673;160
Switzerland;Western Europe;147;7571;11117;942;74400;919;292;25
Denmark;Western Europe;148;7620;10933;954;72700;946;179;30
Finland;Western Europe;149;7842;10775;954;72000;949;186;-98
