Country;Region;Rank;Score;GDP;Family;Health;Freedom;Generosity;Trust
Norway;Western Europe;7;7315;11088;943;71500;947;141;283
Pakistan;Southern Asia;108;4555;8540;601;57313;766;8;787
Panama;Latin America and Caribbean;38;6265;10305;896;68950;855;-133;878
Paraguay;Latin America and Caribbean;66;5738;9510;906;65900;891;21;843
Peru;Latin America and Caribbean;75;5526;9402;798;69850;794;-119;892
Philippines;Southeastern Asia;76;5523;8979;780;62038;919;-60;732
Poland;Central and Eastern Europe;39;6260;10453;925;69049;765;-31;736
Portugal;Western Europe;56;5968;10429;878;71250;902;-196;878
Romania;Central and Eastern Europe;24;6589;10339;848;67051;856;-172;929
Russia;Central and Eastern Europe;70;5661;10210;889;64947;719;-30;801
Saudi Arabia;Middle East and Northern Africa;30;6463;10715;884;64399;894;-81;691
Senegal;Sub-Saharan Africa;102;4855;8155;629;59999;772;11;846
Serbia;Central and Eastern Europe;45;6144;9854;873;67088;845;204;816
Sierra Leone;Sub-Saharan Africa;135;3138;7394;555;54900;660;105;858
Singapore;Southeastern Asia;25;6587;11571;878;73800;878;63;146
Slovakia;Central and Eastern Europe;29;6469;10353;953;68838;753;-16;898
Slovenia;Central and Eastern Europe;22;6650;10588;951;71052;913;14;771
South Africa;Sub-Saharan Africa;85;5275;9478;907;56989;730;-87;902
South Korea;Eastern Asia;57;5951;10693;812;73650;717;-46;701
Spain;Western Europe;32;6436;10540;932;72350;782;-66;711
Sri Lanka;Southern Asia;112;4442;9491;826;67150;787;-30;808
Palestinian Territories;Middle East and Northern Africa;99;4908;8716;859;;694;-132;836
Sweden;Western Europe;6;7395;10883;939;72150;948;165;202
Switzerland;Western Europe;8;7240;11164;920;72900;891;27;266
Taiwan;Eastern Asia;27;6535;10797;884;69600;804;-129;681
Tajikistan;Central and Eastern Europe;80;5330;8237;836;62226;832;-60;522
Tanzania;Sub-Saharan Africa;129;3694;7857;653;59401;838;182;554
Thailand;Southeastern Asia;60;5843;9751;874;68450;850;289;910
Togo;Sub-Saharan Africa;122;4137;7673;595;57449;657;24;740
Tunisia;Middle East and Northern Africa;110;4497;9244;730;67000;576;-213;907
Turkey;Middle East and Northern Africa;106;4614;10307;796;68663;475;-77;795
Uganda;Sub-Saharan Africa;113;4432;7716;794;58913;701;114;857
Ukraine;Central and Eastern Europe;92;5071;9314;878;64550;795;240;907
United Arab Emirates;Middle East and Northern Africa;26;6571;11145;826;66243;942;96;584
United Kingdom;Western Europe;19;6796;10704;882;70300;852;253;454
United States of America;North America;15;6894;11048;919;65850;800;137;689
Uruguay;Latin America and Caribbean;28;6494;10037;913;67500;895;-65;575
Uzbekistan;Central and Eastern Europe;54;6014;8948;875;65301;938;230;638
Venezuela;Latin America and Caribbean;88;5211;5527;839;64050;659;128;811
Vietnam;Southeastern Asia;65;5763;9287;821;65502;939;-4;759
Zambia;Sub-Saharan Africa;128;3982;8074;694;55032;791;98;818
Zimbabwe;Sub-Saharan Africa;134;3204;7641;690;54050;654;-46;766
